mjd,flux,err,trend1,trend2,zp,sector
58325.992919921875,209.61158513332174,4.947487747160008,220.9158704830126,220.9158704830126,20.44,1.0
58326.013732910156,223.0389232050619,6.076906951830053,222.77799721886063,222.77799721886063,20.44,1.0
58326.034606933594,225.34096099497938,6.151229705156006,220.74754594370654,220.74754594370654,20.44,1.0
58326.055419921875,231.3361149738564,6.0722811139438235,216.68190311690336,216.68190311690336,20.44,1.0
58326.076232910156,223.95208498558344,4.637979167639577,213.523721486877,213.523721486877,20.44,1.0
58326.097106933594,210.4599145796321,2.6691460099004574,210.91398281674688,210.91398281674688,20.44,1.0
58326.117919921875,193.0337379458884,3.1827622142976035,206.2242587600299,206.2242587600299,20.44,1.0
58326.138732910156,187.50431372313759,2.9447374875614933,199.01715428015643,199.01715428015643,20.44,1.0
58326.159606933594,204.7707525141509,3.993325292403608,194.14871244775628,194.14871244775628,20.44,1.0
58326.180419921875,192.5128925979605,3.881463101130143,190.85100055327035,190.85100055327035,20.44,1.0
58326.201232910156,180.88638361474227,4.496820066166626,187.8204969203664,187.8204969203664,20.44,1.0
58326.222106933594,189.87299215878218,3.367901397517635,184.6529591755459,184.6529591755459,20.44,1.0
58326.242919921875,187.37593131823078,3.313521522914075,178.51194007889217,178.51194007889217,20.44,1.0
58326.263732910156,171.82021251556077,3.5586401590423438,175.4570295040612,175.4570295040612,20.44,1.0
58326.284606933594,165.33154950939414,4.020791139893576,173.47895750195457,173.47895750195457,20.44,1.0
58326.305419921875,161.7836188375745,3.871517552514609,171.95525573637062,171.95525573637062,20.44,1.0
58326.326232910156,171.12851857414392,3.1882511621235574,170.74025202072062,170.74025202072062,20.44,1.0
58326.347106933594,167.03987959999583,3.4771438756136464,171.49913644966728,171.49913644966728,20.44,1.0
58326.367919921875,179.20707979969436,2.562029791132126,173.58198741250135,173.58198741250135,20.44,1.0
58326.388732910156,178.8709053086808,2.210432802032919,175.93470478635413,175.93470478635413,20.44,1.0
58326.409606933594,177.13240351818752,2.50154523055211,177.17959209460477,177.17959209460477,20.44,1.0
58326.430419921875,179.91150624923256,3.333462987846778,181.3070385816198,181.3070385816198,20.44,1.0
58326.451232910156,178.25264045454412,3.0006650002133397,182.96587211136014,182.96587211136014,20.44,1.0
58326.472106933594,179.84272973189837,3.218004256887902,184.91498374097284,184.91498374097284,20.44,1.0
58326.492919921875,195.9320050091008,2.59931607429087,189.26130900689185,189.26130900689185,20.44,1.0
58326.513732910156,190.81891450787697,2.414103502175478,192.56447923171032,192.56447923171032,20.44,1.0
58326.534606933594,192.51468671596967,2.8049682273719916,196.69406701150447,196.69406701150447,20.44,1.0
58326.555419921875,207.55668037962053,3.88421477771658,201.9917582140113,201.9917582140113,20.44,1.0
58326.576232910156,203.0336978229618,4.844891162134895,204.42484757184354,204.42484757184354,20.44,1.0
58326.597106933594,207.15975491310317,6.176074250408699,206.98830155635113,206.98830155635113,20.44,1.0
58326.617919921875,216.92656814944633,5.683788331432164,208.91306318214532,208.91306318214532,20.44,1.0
58326.638732910156,212.96363051392638,4.929446392097789,207.9127147543993,207.9127147543993,20.44,1.0
58326.659606933594,208.76309239943004,2.9734130076360015,205.64113496556777,205.64113496556777,20.44,1.0
58326.680419921875,205.98801809652912,2.2989285581061583,200.9271554296886,200.9271554296886,20.44,1.0
58326.701232910156,200.55424138539857,2.2813303479434643,197.0923129614613,197.0923129614613,20.44,1.0
58326.722106933594,187.13263930114087,2.7733642527174682,195.20889693195116,195.20889693195116,20.44,1.0
58326.742919921875,174.161898161949,3.868986166687874,195.86715976473528,195.86715976473528,20.44,1.0
58326.763732910156,190.0826708718551,3.8450244450967985,196.35022398395589,196.35022398395589,20.44,1.0
58326.784606933594,199.77971830735567,3.4357431056326986,197.63951324302786,197.63951324302786,20.44,1.0
58326.805419921875,213.37093222891875,3.2677959858479952,199.2254710393739,199.2254710393739,20.44,1.0
58326.826232910156,209.3694676310733,3.397905178830478,203.9543497254857,203.9543497254857,20.44,1.0
58326.847106933594,209.57926619890245,2.6600068937006527,205.6003286353569,205.6003286353569,20.44,1.0
58326.867919921875,198.23434387556318,2.47359299363242,205.23007795260907,205.23007795260907,20.44,1.0
58326.888732910156,207.26404896473178,3.374906951739037,202.33677204441378,202.33677204441378,20.44,1.0
58326.909606933594,201.6045232409532,3.584538592052741,201.4983123446362,201.4983123446362,20.44,1.0
58326.930419921875,197.18796352812092,3.097599586304158,200.52403942397927,200.52403942397927,20.44,1.0
58326.951232910156,193.11779087155168,2.4203468470981147,199.6344669632382,199.6344669632382,20.44,1.0
58326.972106933594,203.5002497326302,2.247929183583272,197.39976249337184,197.39976249337184,20.44,1.0
58326.992919921875,202.7593557543039,2.2652551958686002,196.6598596677373,196.6598596677373,20.44,1.0
58327.013732910156,192.0073366503757,3.3787521671915504,201.28360151096075,201.28360151096075,20.44,1.0
58327.034606933594,191.6211176756675,3.022397163176366,205.58568424140333,205.58568424140333,20.44,1.0
58327.055419921875,196.42520346151107,3.2056909117368795,208.7758621219938,208.7758621219938,20.44,1.0
58327.076232910156,229.55415643068528,3.0683600754240814,211.8325531380678,211.8325531380678,20.44,1.0
58327.097106933594,223.2323699846496,3.1782740864650187,216.63657924871552,216.63657924871552,20.44,1.0
58327.117919921875,225.83149489676367,4.072587677721244,221.7278368770232,221.7278368770232,20.44,1.0
58327.138732910156,224.15619286682204,4.213193197554801,225.18482834274977,225.18482834274977,20.44,1.0
58327.159606933594,225.63551942490957,4.9718138197111506,226.15193162825227,226.15193162825227,20.44,1.0
58327.180419921875,227.25992107382126,6.021813870294243,228.83482822550764,228.83482822550764,20.44,1.0
58327.201232910156,220.6241437215972,5.53031486402329,231.63748202549894,231.63748202549894,20.44,1.0
58327.222106933594,236.32387942920266,4.828569868845599,236.6438781576394,236.6438781576394,20.44,1.0
58327.242919921875,242.01264616543705,4.021593269688035,241.6005103515798,241.6005103515798,20.44,1.0
58327.263732910156,245.45007149670306,2.205540391075055,250.885533146157,250.885533146157,20.44,1.0
58327.284606933594,259.2009657918053,2.8577059520994452,259.39117192357264,259.39117192357264,20.44,1.0
58327.305419921875,260.33194478249214,3.009538083377201,263.25675901630296,263.25675901630296,20.44,1.0
58327.326232910156,292.25508063586165,3.709347365462211,263.1364770076742,263.1364770076742,20.44,1.0
58327.367919921875,280.16361516350685,3.855224676742879,264.2300204925496,264.2300204925496,20.44,1.0
58327.388732910156,263.38298907831506,4.075840386231296,266.15165181523014,266.15165181523014,20.44,1.0
58327.409606933594,241.1706721050357,3.026547381757971,261.3512824488398,261.3512824488398,20.44,1.0
58327.430419921875,253.10487589083067,2.073422217550906,252.04960616633772,252.04960616633772,20.44,1.0
58327.451232910156,272.6523850505691,3.3882399170219335,245.65468985739165,245.65468985739165,20.44,1.0
58327.472106933594,226.72935921775974,3.388934633043997,246.58867644966028,246.58867644966028,20.44,1.0
58327.492919921875,227.14334665834713,3.5514866647157395,251.3918593343506,251.3918593343506,20.44,1.0
58327.513732910156,235.39920100088455,3.0456279886635262,258.24810336114257,258.24810336114257,20.44,1.0
58327.534606933594,269.9208952241953,2.0683975788960964,259.6426161058659,259.6426161058659,20.44,1.0
58327.555419921875,274.79295229786806,2.858838571456632,262.3855389022318,262.3855389022318,20.44,1.0
58327.57629394531,301.0985840783742,2.525703079044204,262.6440355916153,262.6440355916153,20.44,1.0
58327.597106933594,282.4139742636322,2.7369352371689097,263.14871054589526,263.14871054589526,20.44,1.0
58327.61798095703,245.92981879232138,2.9964342749675854,258.2510789753912,258.2510789753912,20.44,1.0
58327.63879394531,228.95282348403168,2.8989464724967084,254.78699483436452,254.78699483436452,20.44,1.0
58327.659606933594,238.93192568084436,3.9393290141109896,247.21378382506106,247.21378382506106,20.44,1.0
58327.68048095703,235.63747423066656,3.021565443811297,245.76691276857315,245.76691276857315,20.44,1.0
58327.70129394531,250.5443633106814,2.279165014726985,250.05949954947891,250.05949954947891,20.44,1.0
58327.722106933594,248.08610701324994,3.633980291264574,259.21148717102824,259.21148717102824,20.44,1.0
58327.74298095703,272.2858768682167,5.212852943289038,263.82210649644145,263.82210649644145,20.44,1.0
58327.76379394531,275.97792625866185,5.858135154035426,268.27964276775793,268.27964276775793,20.44,1.0
58327.784606933594,293.0167368348774,5.366665985607642,271.0065264701097,271.0065264701097,20.44,1.0
58327.80548095703,271.20626095873615,4.083102112238751,272.86606568289,272.86606568289,20.44,1.0
58327.82629394531,266.84022812988206,2.568093407459004,269.6425274183674,269.6425274183674,20.44,1.0
58327.847106933594,269.632549227144,2.085918631115053,270.6988421994912,270.6988421994912,20.44,1.0
58327.86798095703,261.1028815027119,2.294645060063942,266.2578589378511,266.2578589378511,20.44,1.0
58327.88879394531,249.72110901655856,3.122951727009768,266.3733085689987,266.3733085689987,20.44,1.0
58327.909606933594,283.3721297265283,3.6278656381556638,268.77531262201893,268.77531262201893,20.44,1.0
58327.93048095703,261.9298540033967,3.597198494264107,270.42996528358714,270.42996528358714,20.44,1.0
58327.95129394531,272.01440837676967,3.6198813519620185,278.36611625152494,278.36611625152494,20.44,1.0
58327.972106933594,283.65425650102344,2.841480597835868,286.9724069597022,286.9724069597022,20.44,1.0
58327.99298095703,281.21511785812163,2.333399559654244,292.84085825663493,292.84085825663493,20.44,1.0
58328.01379394531,316.65593827827627,1.9268568209946433,299.6317804154208,299.6317804154208,20.44,1.0
58328.034606933594,309.9651439737994,3.0172495655085148,300.62362257603877,300.62362257603877,20.44,1.0
58328.05548095703,324.4512888050574,3.753608173039434,303.51027723647366,303.51027723647366,20.44,1.0
58328.07629394531,309.4663091148979,3.8222466573898695,303.39731071885063,303.39731071885063,20.44,1.0
58328.097106933594,278.9573035010957,2.6243255465865443,298.66691042921775,298.66691042921775,20.44,1.0
58328.11798095703,303.8608391240673,1.9618509581533998,295.03916643108545,295.03916643108545,20.44,1.0
58328.13879394531,280.4243522347606,2.2137806042985835,284.84768290851736,284.84768290851736,20.44,1.0
58328.159606933594,283.5431362508463,2.8489551761212946,277.5973146762617,277.5973146762617,20.44,1.0
58328.18048095703,284.5709359868729,2.8402270182371065,276.9143109896596,276.9143109896596,20.44,1.0
58328.20129394531,253.11090414708082,3.3013829146039306,269.46430834339174,269.46430834339174,20.44,1.0
58328.222106933594,258.7137314891082,3.594281394494766,264.8271477510232,264.8271477510232,20.44,1.0
58328.24298095703,274.1762776948812,3.356122227680116,257.64501127391156,257.64501127391156,20.44,1.0
58328.26379394531,251.71082060019245,1.7711714409457462,258.3166110662182,258.3166110662182,20.44,1.0
58328.284606933594,247.96422808818036,2.4033111401198544,265.14968648156923,265.14968648156923,20.44,1.0
58328.30548095703,233.2681809110652,3.684960186197105,268.83684046795963,268.83684046795963,20.44,1.0
58328.32629394531,289.2721345330189,5.394779056623295,269.49667242882225,269.49667242882225,20.44,1.0
58328.347106933594,300.9424320545384,6.08793468252719,275.9086377162006,275.9086377162006,20.44,1.0
58328.36798095703,284.52380939384074,5.212327341395729,282.16632362232156,282.16632362232156,20.44,1.0
58328.38879394531,278.7951014209199,3.7543537345115263,289.3638145038627,289.3638145038627,20.44,1.0
58328.409606933594,296.5945776118403,1.9175933398266247,292.6445163676012,292.6445163676012,20.44,1.0
58328.43048095703,291.76802943102723,1.7172130652242843,299.6832776391481,299.6832776391481,20.44,1.0
58328.45129394531,283.6506170818534,2.847196783240565,305.60991144557306,305.60991144557306,20.44,1.0
58328.472106933594,312.23704757918847,3.3087072741610033,311.68954185790693,311.68954185790693,20.44,1.0
58328.49298095703,350.21376095536704,3.909050476790829,315.24231059320994,315.24231059320994,20.44,1.0
58328.51379394531,326.0102460388153,3.7234772886654297,319.44348082055075,319.44348082055075,20.44,1.0
58328.534606933594,321.35251430725674,3.3739809636394593,324.35079925939283,324.35079925939283,20.44,1.0
58328.55548095703,321.4639587589612,2.623255987826493,325.4782545388948,325.4782545388948,20.44,1.0
58328.57629394531,321.1762210224132,4.1451571215791,318.0278735945406,318.0278735945406,20.44,1.0
58328.597106933594,318.0018461537476,2.46343432766038,312.81580759775215,312.81580759775215,20.44,1.0
58328.61798095703,320.12923453570266,3.4884405355022623,308.7115519859515,308.7115519859515,20.44,1.0
58328.63879394531,298.0610943448878,3.1725528336044917,305.7510579116614,305.7510579116614,20.44,1.0
58328.659606933594,289.5257840612959,3.2880351482755796,307.4068900658368,307.4068900658368,20.44,1.0
58328.68048095703,292.62272502465214,2.626440216315871,305.5179883601286,305.5179883601286,20.44,1.0
58328.70129394531,300.74050023893085,1.8210811503656308,300.03097127170605,300.03097127170605,20.44,1.0
58328.722106933594,332.76704610164086,2.3273896608865114,293.7449172761437,293.7449172761437,20.44,1.0
58328.74298095703,304.77953421379004,2.107538530554344,294.1276518969713,294.1276518969713,20.44,1.0
58328.76379394531,281.7201149167446,2.9988736241779606,298.25113409654284,298.25113409654284,20.44,1.0
58328.784606933594,254.0587163759521,4.547394983488022,299.39356208791287,299.39356208791287,20.44,1.0
58328.80548095703,292.2049264070886,3.063891977221558,292.51126274756547,292.51126274756547,20.44,1.0
58328.82629394531,321.48710042165317,2.3358140096178843,287.44533641286205,287.44533641286205,20.44,1.0
58328.847106933594,308.7374961785206,2.004667763420395,283.3267533604328,283.3267533604328,20.44,1.0
58328.86798095703,284.59095071920933,2.7461522698179883,285.6217946575904,285.6217946575904,20.44,1.0
